PROG CODE,COURSE_ENROLLED
BSCE        ,BACHELOR OF SCIENCE IN CIVIL ENGINEERING
BSBIO(MCB)  ,BACHELOR OF SCIENCE IN BIOLOGY(MICROBIOLOGY)
BSEE        ,BACHELOR OF SCIENCE IN ELECTRICAL ENGINEERING
BSMETE      ,BACHELOR OF SCIENCE METALLURGICAL ENGINEERING
BSBIO(AnBio),BACHELOR OF SCIENCE IN BIOLOGY(ANIMAL BIOLOGY)
BSCHEM      ,BACHELOR OF SCIENCE IN CHEMISTRY
BSCHE       ,BACHELOR OF SCIENCE IN CHEMICAL ENGINEERING
BSPHYSICS   ,BACHELOR OF SCIENCE IN PHYSICS
BSNURSING   ,BACHELOR OF SCIENCE IN NURSING
BSEsE       ,BACHELOR OF SCIENCE IN ELECTRONICS ENGINEERING
BSA         ,BACHELOR OF SCIENCE IN ACCOUNTANCY
BSMARINE BIO,BACHELOR OF SCIENCE IN MARINE BIOLOGY
BSIT        ,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
BSCPE       ,BACHELOR OF SCIENCE IN COMPUTER ENGINEERING
BA POL SCI  ,BACHELOR OF ARTS IN POLITICAL SCIENCE
BSME        ,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
BA ELS      ,BACHELOR OF ARTS IN ENGLISH LANGUAGE STUDIES
BSBIO(Bdv)  ,BACHELOR OF SCIENCE IN BIOLOGY (BIODIVERSITY)
BSMATH      ,BACHELOR OF SCIENCE IN MATHEMATICS
BSBIO(PlBio),BACHELOR OF SCIENCE IN BIOLOGY(PLANT BIOLOGY)
BSED BIO    ,BACHELOR OF SECONDARY EDUCATION (BIOLOGY)
BS PSYCH    ,BACHELOR OF SCIENCE IN PSYCHOLOGY
BSCS        ,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
BS HM       ,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
BS PHIL     ,BACHELOR OF SCIENCE IN PHILOSOPHY MAJOR IN APPLIED ETHICS
BET-CET     ,BACHELOR OF ENGINEERING TECHNOLOGY - CIVIL ENGINEERING TECHNOLOGY
BET-MMT     ,BACHELOR OF ENGINEERING TECHNOLOGY-METALLURGY AND MATERIALS ENGINEERING TECHNOLOGY
BSEM        ,BACHELOR OF SCIENCE IN MINING ENGINEERING
BSBA-MKT MGT,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION (MARKETING MANAGEMENT)
BS ECON     ,BACHELOR OF SCIENCE IN ECONOMICS
BSIAM       ,BACHELOR OF SCIENCE IN INDUSTRIAL AUTOMATION & MECHATRONICS
BS ENTREP   ,BACHELOR OF SCIENCE IN ENTREPRENEURSHIP
BSED CHEM   ,BACHELOR OF SECONDARY EDUCATION (CHEMISTRY)
BTLED-IA    ,BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION-INDUSTRIAL ARTS
BTVTED-DT   ,BACHELOR OF TECHNICAL-VOCATIONAL TEACHER EDUCATION DRAFTING TECHNOLOGY
BPED        ,BACHELOR OF PHYSICAL EDUCATION
BSBA-B.ECON ,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION (BUSINESS ECONOMICS)
BSED PHYS   ,BACHELOR OF SECONDARY EDUCATION (PHYSICS)
BSED MATH   ,BACHELOR OF SECONDARY EDUCATION (MATHEMATICS)
BSIS        ,BACHELOR OF SCIENCE IN INFORMATION SYSTEMS
BSSTAT      ,BACHELOR OF SCIENCE IN STATISTICS
BA PSYCH    ,BACHELOR OF ARTS IN PSYCHOLOGY
BEED SCI MAT,BACHELOR OF ELEMENTARY EDUCATION (SCIENCE AND MATHEMATICS)
BSED FIL    ,BACHELOR OF SECONDARY EDUCATION (FILIPINO)
BEED Lang Ed,BACHELOR OF ELEMENTARY EDUCATION (LANGUAGE EDUCATION)
BA HISTORY  ,BACHELOR OF ARTS IN HISTORY
BSCERE      ,BACHELOR OF SCIENCE IN CERAMIC ENGINEERING
BTLED-HE    ,BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION-HOME ECONOMICS
BA FIL      ,BATSILYER NG SINING SA FILIPINO
BA SOCIO    ,BACHELOR OF ARTS IN SOCIOLOGY
BET-ELET    ,BACHELOR OF ENGINEERING TECHNOLOGY-ELECTRICAL ENGINEERING TECHNOLOGY
BET-CHET    ,BACHELOR OF ENGINEERING TECHNOLOGY-CHEMICAL ENGINEERING TECHNOLOGY
BET-ESET    ,BACHELOR OF ENGINEERING TECHNOLOGY-ELECTRONICS ENGINEERING TECHNOLOGY
BET-MET     ,BACHELOR OF ENGINEERING TECHNOLOGY-MECHANICAL ENGINEERING TECHNOLOGY
BSEnE       ,BACHELOR OF SCIENCE IN ENVIRONMENTAL ENGINEERING
BSCA        ,BACHELOR OF SCIENCE IN COMPUTER APPLICATIONS
BS EnvET    ,BACHELOR OF SCIENCE IN ENVIRONMENTAL ENGINEERING TECHNOLOGY
